Gene symbol	chr	geneID	gene type
ENSG00000227632	chr2	ENSG00000227632	unprocessed_pseudogene
RBMY2YP	chrY	ENSG00000227633	unprocessed_pseudogene
LINC01714	chr1	ENSG00000227634	lncRNA
USP9YP21	chrY	ENSG00000227635	unprocessed_pseudogene
HNRNPA1P14	chr9	ENSG00000227638	processed_pseudogene
SOX21-AS1	chr13	ENSG00000227640	lncRNA
HIGD1AP11	chr1	ENSG00000227644	processed_pseudogene
RPL7P54	chrX	ENSG00000227645	processed_pseudogene
STEAP2-AS1	chr7	ENSG00000227646	lncRNA
MTND6P32	chrX	ENSG00000227649	processed_pseudogene
ISCA1P6	chr2	ENSG00000227653	processed_pseudogene
SERPINA7P1	chrX	ENSG00000227657	unprocessed_pseudogene
ENSG00000227658	chr7	ENSG00000227658	lncRNA
CLYBL-AS2	chr13	ENSG00000227659	lncRNA
UST-AS1	chr6	ENSG00000227660	lncRNA
MTCO3P18	chr2	ENSG00000227661	unprocessed_pseudogene
RPL7P2	chr20	ENSG00000227663	processed_pseudogene
CYCSP24	chr9	ENSG00000227666	processed_pseudogene
ENSG00000227667	chr1	ENSG00000227667	processed_pseudogene
ZNF731P	chr1	ENSG00000227671	transcribed_unprocessed_pseudogene
ENSG00000227673	chr1	ENSG00000227673	lncRNA
LINC00355	chr13	ENSG00000227674	lncRNA
LINC01068	chr13	ENSG00000227676	lncRNA
ENSG00000227678	chr6	ENSG00000227678	lncRNA
ENSG00000227679	chr10	ENSG00000227679	processed_pseudogene
ENSG00000227680	chr2	ENSG00000227680	lncRNA
ENSG00000227681	chr6	ENSG00000227681	lncRNA
ATP5F1AP2	chr2	ENSG00000227682	transcribed_processed_pseudogene
ENSG00000227683	chr10	ENSG00000227683	lncRNA
CROCCP4	chr1	ENSG00000227684	transcribed_unprocessed_pseudogene
LINC02088	chr17	ENSG00000227685	lncRNA
ENSG00000227687	chr1	ENSG00000227687	lncRNA
HNRNPA3P2	chr20	ENSG00000227688	unprocessed_pseudogene
SRP68P2	chr17	ENSG00000227689	processed_pseudogene
MED28P3	chr2	ENSG00000227692	processed_pseudogene
GSTM3P1	chr20	ENSG00000227693	processed_pseudogene
RPL23AP74	chr17	ENSG00000227694	processed_pseudogene
DNMBP-AS1	chr10	ENSG00000227695	lncRNA
ENSG00000227698	chr21	ENSG00000227698	lncRNA
ENSG00000227700	chr1	ENSG00000227700	processed_pseudogene
LINC00111	chr21	ENSG00000227702	lncRNA
ENSG00000227704	chr6	ENSG00000227704	lncRNA
ENSG00000227705	chr20	ENSG00000227705	lncRNA
ENSG00000227706	chr6	ENSG00000227706	lncRNA
SDAD1P3	chr3	ENSG00000227707	processed_pseudogene
LINC01850	chr2	ENSG00000227708	lncRNA
SNRNP40P1	chr3	ENSG00000227709	processed_pseudogene
ENSG00000227710	chr22	ENSG00000227710	unprocessed_pseudogene
ENSG00000227711	chr1	ENSG00000227711	unprocessed_pseudogene
ENSG00000227712	chr1	ENSG00000227712	lncRNA
ENSG00000227713	chr2	ENSG00000227713	lncRNA
MTND6P18	chr13	ENSG00000227714	processed_pseudogene
ENSG00000227716	chr21	ENSG00000227716	lncRNA
GOLGA6L25	chr15	ENSG00000227717	protein_coding
ENSG00000227718	chr2	ENSG00000227718	lncRNA
ENSG00000227719	chr7	ENSG00000227719	lncRNA
RPSAP64	chr21	ENSG00000227721	processed_pseudogene
ENSG00000227722	chr1	ENSG00000227722	transcribed_processed_pseudogene
ENSG00000227723	chr6	ENSG00000227723	lncRNA
POLR2MP1	chr4	ENSG00000227725	processed_pseudogene
ENSG00000227726	chr11	ENSG00000227726	lncRNA
ENSG00000227728	chr1	ENSG00000227728	unprocessed_pseudogene
RD3L	chr14	ENSG00000227729	protein_coding
MTND6P5	chr9	ENSG00000227730	unprocessed_pseudogene
ENSG00000227733	chr1	ENSG00000227733	lncRNA
ENSG00000227734	chr10	ENSG00000227734	lncRNA
CYCSP5	chr1	ENSG00000227735	processed_pseudogene
MTCO3P16	chr2	ENSG00000227736	unprocessed_pseudogene
OR8B1P	chr11	ENSG00000227737	transcribed_unprocessed_pseudogene
PSMD14P1	chr2	ENSG00000227738	processed_pseudogene
LINC02803	chr1	ENSG00000227740	lncRNA
ENSG00000227741	chr1	ENSG00000227741	lncRNA
CALR4P	chr1	ENSG00000227742	transcribed_unitary_pseudogene
ENSG00000227743	chr7	ENSG00000227743	lncRNA
LINC01940	chr2	ENSG00000227744	lncRNA
ENSG00000227745	chr2	ENSG00000227745	unprocessed_pseudogene
ENSG00000227747	chr1	ENSG00000227747	processed_pseudogene
ENSG00000227748	chr6	ENSG00000227748	lncRNA
RCC2-AS1	chr1	ENSG00000227751	lncRNA
RPL36AP31	chr8	ENSG00000227753	processed_pseudogene
ENSG00000227755	chr22	ENSG00000227755	transcribed_processed_pseudogene
ENSG00000227757	chr21	ENSG00000227757	lncRNA
HCG9P5	chr6	ENSG00000227758	unprocessed_pseudogene
VTI1BP4	chr9	ENSG00000227759	processed_pseudogene
ENSG00000227760	chr12	ENSG00000227760	processed_pseudogene
GUSBP8	chr5	ENSG00000227762	unprocessed_pseudogene
NTRAS	chr1	ENSG00000227764	lncRNA
MYL12BP2	chr4	ENSG00000227765	processed_pseudogene
ENSG00000227766	chr6	ENSG00000227766	unprocessed_pseudogene
ENSG00000227769	chr2	ENSG00000227769	lncRNA
RPL7P12	chr2	ENSG00000227770	processed_pseudogene
ASH1L-IT1	chr1	ENSG00000227773	lncRNA
ENSG00000227775	chr1	ENSG00000227775	transcribed_processed_pseudogene
AKR1D1P1	chr1	ENSG00000227776	processed_pseudogene
RPL7AP19	chr1	ENSG00000227777	processed_pseudogene
NDUFB3P5	chrX	ENSG00000227779	processed_pseudogene
ENSG00000227782	chr17	ENSG00000227782	lncRNA
ZNF965P	chr13	ENSG00000227784	processed_pseudogene
ENSG00000227785	chr7	ENSG00000227785	processed_pseudogene
MTCO3P43	chr2	ENSG00000227788	processed_pseudogene
MTCYBP7	chr2	ENSG00000227789	processed_pseudogene
SPECC1P1	chr17	ENSG00000227790	transcribed_unprocessed_pseudogene
RPS10P9	chr2	ENSG00000227791	processed_pseudogene
MTND4LP9	chr3	ENSG00000227795	processed_pseudogene
CDPF1P1	chr2	ENSG00000227799	processed_pseudogene
IGHD4-17	chr14	ENSG00000227800	IG_D_gene
DNAJB3	chr2	ENSG00000227802	transcribed_processed_pseudogene
ENSG00000227803	chr6	ENSG00000227803	lncRNA
RPL21P90	chr10	ENSG00000227805	processed_pseudogene
OR5W1P	chr11	ENSG00000227806	unprocessed_pseudogene
ENSG00000227809	chr9	ENSG00000227809	lncRNA
INKA2-AS1	chr1	ENSG00000227811	lncRNA
ENSG00000227813	chr22	ENSG00000227813	processed_pseudogene
MRPS17P9	chrX	ENSG00000227814	processed_pseudogene
ENSG00000227815	chr1	ENSG00000227815	unprocessed_pseudogene
ARHGAP42P1	chr2	ENSG00000227817	unprocessed_pseudogene
ENSG00000227818	chr1	ENSG00000227818	lncRNA
ENSG00000227824	chr2	ENSG00000227824	lncRNA
SLC9A7P1	chr12	ENSG00000227825	transcribed_processed_pseudogene
PKD1P2	chr16	ENSG00000227827	unprocessed_pseudogene
TRIM60P3Y	chrY	ENSG00000227830	processed_pseudogene
ST13P21	chr1	ENSG00000227832	processed_pseudogene
ENSG00000227834	chr11	ENSG00000227834	processed_pseudogene
CARM1P1	chr9	ENSG00000227835	transcribed_unprocessed_pseudogene
ENSG00000227836	chr5	ENSG00000227836	processed_pseudogene
TRIM60P11Y	chrY	ENSG00000227837	processed_pseudogene
CPMER	chr22	ENSG00000227838	lncRNA
KRTAP8-3P	chr21	ENSG00000227840	unprocessed_pseudogene
MTND5P31	chr2	ENSG00000227841	unprocessed_pseudogene
ENSG00000227842	chr2	ENSG00000227842	processed_pseudogene
ENSG00000227845	chr9	ENSG00000227845	processed_pseudogene
UGT1A11P	chr2	ENSG00000227846	unprocessed_pseudogene
PPIAP93	chr7	ENSG00000227847	processed_pseudogene
SUCLA2-AS1	chr13	ENSG00000227848	lncRNA
SEPTIN2P1	chr1	ENSG00000227850	processed_pseudogene
ENSG00000227851	chr10	ENSG00000227851	lncRNA
RPS29P17	chr9	ENSG00000227852	processed_pseudogene
ENSG00000227854	chr1	ENSG00000227854	processed_pseudogene
DPY19L2P3	chr7	ENSG00000227855	transcribed_unprocessed_pseudogene
ENSG00000227857	chr1	ENSG00000227857	lncRNA
MTND5P18	chr1	ENSG00000227860	processed_pseudogene
HNRNPA1P31	chr13	ENSG00000227862	processed_pseudogene
ENSG00000227863	chr7	ENSG00000227863	lncRNA
ARL5AP1	chrX	ENSG00000227864	processed_pseudogene
ELOCP11	chrY	ENSG00000227867	processed_pseudogene
TEX46	chr1	ENSG00000227868	protein_coding
USP9YP12	chrY	ENSG00000227871	unprocessed_pseudogene
FAM136GP	chrX	ENSG00000227873	processed_pseudogene
GRAMD4P1	chr21	ENSG00000227874	processed_pseudogene
RPL23AP89	chr1	ENSG00000227875	processed_pseudogene
MRLN	chr10	ENSG00000227877	protein_coding
ENSG00000227878	chr2	ENSG00000227878	processed_pseudogene
PSPC1P1	chr13	ENSG00000227879	unprocessed_pseudogene
ENSG00000227880	chr22	ENSG00000227880	lncRNA
ASS1P5	chrX	ENSG00000227881	processed_pseudogene
THAP12P6	chr13	ENSG00000227882	processed_pseudogene
ATP6V0E1P4	chr1	ENSG00000227883	processed_pseudogene
ENSG00000227885	chr6	ENSG00000227885	lncRNA
RPS26P13	chr1	ENSG00000227887	processed_pseudogene
FAM66A	chr8	ENSG00000227888	lncRNA
PSMA2P3	chr2	ENSG00000227890	processed_pseudogene
OR5P4P	chr11	ENSG00000227892	unprocessed_pseudogene
LINC00352	chr13	ENSG00000227893	lncRNA
WAPL-DT	chr10	ENSG00000227896	lncRNA
MED6P1	chr10	ENSG00000227905	processed_pseudogene
SNAP25-AS1	chr20	ENSG00000227906	lncRNA
ENSG00000227907	chr1	ENSG00000227907	lncRNA
IL6ST-DT	chr5	ENSG00000227908	lncRNA
ENSG00000227910	chr7	ENSG00000227910	transcribed_processed_pseudogene
LINC02344	chr13	ENSG00000227911	lncRNA
ENSG00000227912	chr10	ENSG00000227912	lncRNA
KRT8P44	chr6	ENSG00000227913	processed_pseudogene
ENSG00000227914	chr9	ENSG00000227914	lncRNA
ELOCP16	chrY	ENSG00000227915	unprocessed_pseudogene
ENSG00000227917	chr9	ENSG00000227917	lncRNA
ENSG00000227919	chr17	ENSG00000227919	unprocessed_pseudogene
ENSG00000227920	chr6	ENSG00000227920	lncRNA
SPTLC1P5	chr13	ENSG00000227922	processed_pseudogene
ENSG00000227923	chr7	ENSG00000227923	processed_pseudogene
RBPJP6	chr9	ENSG00000227924	processed_pseudogene
MACROD2-IT1	chr20	ENSG00000227927	lncRNA
SRGAP3-AS3	chr3	ENSG00000227929	lncRNA
ENSG00000227930	chr7	ENSG00000227930	lncRNA
SELENOOLP	chr10	ENSG00000227932	transcribed_unitary_pseudogene
ENSG00000227933	chr9	ENSG00000227933	lncRNA
ENSG00000227934	chr1	ENSG00000227934	processed_pseudogene
ENSG00000227935	chr1	ENSG00000227935	lncRNA
MTND2P30	chr1	ENSG00000227937	processed_pseudogene
ENSG00000227938	chr2	ENSG00000227938	lncRNA
RPL3P2	chr6	ENSG00000227939	processed_pseudogene
LINC01696	chr1	ENSG00000227940	lncRNA
UQCRBP2	chr1	ENSG00000227941	processed_pseudogene
FRMD8P1	chrX	ENSG00000227942	processed_pseudogene
PTPRK-AS1	chr6	ENSG00000227945	lncRNA
INO80D-AS1	chr2	ENSG00000227946	lncRNA
LINC01738	chr1	ENSG00000227947	lncRNA
ENSG00000227948	chr7	ENSG00000227948	processed_pseudogene
CYCSP46	chrY	ENSG00000227949	processed_pseudogene
ENSG00000227950	chr1	ENSG00000227950	processed_pseudogene
RPL18AP17	chr13	ENSG00000227952	processed_pseudogene
LINC01341	chr1	ENSG00000227953	lncRNA
TARID	chr6	ENSG00000227954	lncRNA
ENSG00000227958	chr9	ENSG00000227958	lncRNA
EPHA2-AS1	chr1	ENSG00000227959	lncRNA
ENSG00000227960	chr1	ENSG00000227960	lncRNA
ENSG00000227962	chr1	ENSG00000227962	processed_pseudogene
RBM15-AS1	chr1	ENSG00000227963	lncRNA
LINC01429	chr20	ENSG00000227964	lncRNA
ENSG00000227965	chr7	ENSG00000227965	processed_pseudogene
BUB3P1	chr7	ENSG00000227968	processed_pseudogene
NPM1P22	chr13	ENSG00000227969	processed_pseudogene
NR1H5P	chr1	ENSG00000227970	unitary_pseudogene
ENSG00000227971	chr3	ENSG00000227971	processed_pseudogene
THAP12P3	chr10	ENSG00000227972	processed_pseudogene
PIN4P1	chr15	ENSG00000227973	processed_pseudogene
COX6A1P7	chr7	ENSG00000227979	processed_pseudogene
ENSG00000227981	chr2	ENSG00000227981	lncRNA
RPL7P30	chr7	ENSG00000227982	processed_pseudogene
BRK1P2	chr13	ENSG00000227983	processed_pseudogene
TRIM60P18	chr7	ENSG00000227986	unprocessed_pseudogene
ENSG00000227987	chr2	ENSG00000227987	lncRNA
CRIPTOP1	chrX	ENSG00000227988	processed_pseudogene
ENSG00000227992	chr2	ENSG00000227992	processed_pseudogene
ENSG00000227994	chr1	ENSG00000227994	processed_pseudogene
RAB11AP1	chr10	ENSG00000227995	processed_pseudogene
MTND5P1	chr21	ENSG00000227999	processed_pseudogene
RPL7AP65	chr17	ENSG00000228000	processed_pseudogene
DHX9P1	chr13	ENSG00000228002	processed_pseudogene
MYCLP2	chrX	ENSG00000228004	processed_pseudogene
ENSG00000228005	chr7	ENSG00000228005	lncRNA
RPL36AP7	chr17	ENSG00000228007	processed_pseudogene
ENSG00000228008	chr3	ENSG00000228008	lncRNA
ENSG00000228010	chr7	ENSG00000228010	lncRNA
IL6R-AS1	chr1	ENSG00000228013	lncRNA
ZNF680P1	chr7	ENSG00000228014	processed_pseudogene
ENSG00000228015	chr7	ENSG00000228015	processed_pseudogene
RAPGEF4-AS1	chr2	ENSG00000228016	lncRNA
ENSG00000228019	chr7	ENSG00000228019	unprocessed_pseudogene
HNRNPA1P46	chr1	ENSG00000228020	processed_pseudogene
ENSG00000228021	chr10	ENSG00000228021	lncRNA
HCG20	chr6	ENSG00000228022	lncRNA
CYP1D1P	chr9	ENSG00000228024	unprocessed_pseudogene
ENSG00000228027	chr10	ENSG00000228027	lncRNA
ENSG00000228028	chr3	ENSG00000228028	lncRNA
RPL21P76	chr7	ENSG00000228030	processed_pseudogene
ENSG00000228031	chr7	ENSG00000228031	lncRNA
ENSG00000228033	chr2	ENSG00000228033	lncRNA
HMGN2P21	chr2	ENSG00000228034	processed_pseudogene
NGF-AS1	chr1	ENSG00000228035	lncRNA
HSPD1P9	chr13	ENSG00000228036	processed_pseudogene
ENSG00000228037	chr1	ENSG00000228037	lncRNA
VN1R51P	chr9	ENSG00000228038	processed_pseudogene
ENSG00000228039	chr22	ENSG00000228039	processed_pseudogene
ENSG00000228040	chr1	ENSG00000228040	processed_pseudogene
EIF3JP1	chrX	ENSG00000228041	processed_pseudogene
M6PRP1	chrX	ENSG00000228042	processed_pseudogene
SPOPL-DT	chr2	ENSG00000228043	lncRNA
ENSG00000228044	chr1	ENSG00000228044	lncRNA
DNAJA1P6	chr22	ENSG00000228045	processed_pseudogene
MTCO3P40	chr9	ENSG00000228046	processed_pseudogene
ENSG00000228048	chr10	ENSG00000228048	lncRNA
POLR2J2	chr7	ENSG00000228049	protein_coding
TOP3BP1	chr22	ENSG00000228050	processed_pseudogene
WBP11P3	chrX	ENSG00000228051	processed_pseudogene
RPL21P87	chr9	ENSG00000228053	processed_pseudogene
RANP5	chr1	ENSG00000228054	processed_pseudogene
FAM245A	chr10	ENSG00000228055	lncRNA
CFL1P3	chr1	ENSG00000228056	processed_pseudogene
SEC63P1	chr1	ENSG00000228057	processed_pseudogene
LINC01736	chr1	ENSG00000228058	lncRNA
PABPC4-AS1	chr1	ENSG00000228060	lncRNA
ENSG00000228061	chr11	ENSG00000228061	lncRNA
LYPLAL1-DT	chr1	ENSG00000228063	lncRNA
ENSG00000228064	chr2	ENSG00000228064	lncRNA
LINC01515	chr10	ENSG00000228065	lncRNA
LINC01740	chr1	ENSG00000228067	lncRNA
MTCO3P29	chr9	ENSG00000228069	unprocessed_pseudogene
RPL7P47	chr16	ENSG00000228071	processed_pseudogene
ENSG00000228072	chr9	ENSG00000228072	lncRNA
ENSG00000228073	chr2	ENSG00000228073	lncRNA
UBBP5	chr13	ENSG00000228074	processed_pseudogene
BOD1L2	chr18	ENSG00000228075	protein_coding
ENSG00000228076	chr1	ENSG00000228076	processed_pseudogene
HLA-U	chr6	ENSG00000228078	unprocessed_pseudogene
ENSG00000228079	chr2	ENSG00000228079	lncRNA
ENSG00000228081	chr1	ENSG00000228081	processed_pseudogene
SIM1-AS1	chr6	ENSG00000228082	lncRNA
IFNA14	chr9	ENSG00000228083	protein_coding
ENSG00000228084	chr1	ENSG00000228084	lncRNA
ENSG00000228085	chr7	ENSG00000228085	processed_pseudogene
ENSG00000228086	chr1	ENSG00000228086	lncRNA
PNKDP1	chrX	ENSG00000228089	processed_pseudogene
COX6CP15	chr10	ENSG00000228092	processed_pseudogene
ENSG00000228095	chr9	ENSG00000228095	processed_pseudogene
MTATP6P11	chr9	ENSG00000228097	unprocessed_pseudogene
ENSG00000228098	chr2	ENSG00000228098	processed_pseudogene
LINC01820	chr2	ENSG00000228100	lncRNA
LINC01757	chr1	ENSG00000228105	lncRNA
ENSG00000228107	chr21	ENSG00000228107	lncRNA
SPTBN1-AS1	chr2	ENSG00000228108	lncRNA
MELTF-AS1	chr3	ENSG00000228109	lncRNA
ST13P19	chr1	ENSG00000228110	processed_pseudogene
TPT1P2	chr2	ENSG00000228111	processed_pseudogene
ENSG00000228112	chr3	ENSG00000228112	processed_pseudogene
ENSG00000228113	chr7	ENSG00000228113	lncRNA
ENSG00000228115	chr9	ENSG00000228115	lncRNA
MYL6P5	chr17	ENSG00000228118	processed_pseudogene
ENSG00000228120	chr21	ENSG00000228120	lncRNA
PHB1P3	chr1	ENSG00000228121	processed_pseudogene
MTND1P17	chr22	ENSG00000228122	processed_pseudogene
ENSG00000228123	chr9	ENSG00000228123	processed_pseudogene
MDN1-AS1	chr6	ENSG00000228124	lncRNA
AKIRIN1P2	chrX	ENSG00000228125	processed_pseudogene
FALEC	chr1	ENSG00000228126	lncRNA
LINC01649	chr1	ENSG00000228127	lncRNA
IGHD6-6	chr14	ENSG00000228131	IG_D_gene
ENSG00000228132	chr9	ENSG00000228132	processed_pseudogene
ENSG00000228133	chr17	ENSG00000228133	lncRNA
UBE2V1P14	chr2	ENSG00000228134	processed_pseudogene
ENSG00000228136	chr9	ENSG00000228136	lncRNA
ENSG00000228137	chr21	ENSG00000228137	lncRNA
EFHD2-AS1	chr1	ENSG00000228140	lncRNA
ENSG00000228141	chr15	ENSG00000228141	transcribed_unitary_pseudogene
ENSG00000228142	chr9	ENSG00000228142	lncRNA
ENSG00000228143	chr9	ENSG00000228143	processed_pseudogene
ENSG00000228144	chr12	ENSG00000228144	protein_coding
CASP16P	chr16	ENSG00000228146	transcribed_unitary_pseudogene
RPL3P1	chr21	ENSG00000228149	processed_pseudogene
ENSG00000228150	chr1	ENSG00000228150	lncRNA
ENSG00000228151	chr7	ENSG00000228151	lncRNA
ENSG00000228153	chr1	ENSG00000228153	lncRNA
ENSG00000228154	chr4	ENSG00000228154	processed_pseudogene
ENSG00000228156	chr20	ENSG00000228156	lncRNA
ENSG00000228157	chr17	ENSG00000228157	lncRNA
TLE1P1	chrX	ENSG00000228158	processed_pseudogene
LINC01674	chr21	ENSG00000228159	lncRNA
ENSG00000228160	chrX	ENSG00000228160	lncRNA
ENSG00000228161	chr22	ENSG00000228161	unprocessed_pseudogene
ENSG00000228162	chr2	ENSG00000228162	lncRNA
ENSG00000228165	chr9	ENSG00000228165	lncRNA
MTND1P11	chr9	ENSG00000228166	unprocessed_pseudogene
ENSG00000228167	chr1	ENSG00000228167	processed_pseudogene
HNRNPA1P21	chr3	ENSG00000228168	processed_pseudogene
PPIAP19	chr10	ENSG00000228169	processed_pseudogene
ENSG00000228170	chr6	ENSG00000228170	lncRNA
C11orf98P3	chr3	ENSG00000228171	unprocessed_pseudogene
ENSG00000228172	chr1	ENSG00000228172	lncRNA
ENSG00000228173	chr7	ENSG00000228173	lncRNA
ENSG00000228174	chr9	ENSG00000228174	lncRNA
GEMIN8P4	chr1	ENSG00000228175	processed_pseudogene
ENSG00000228176	chr1	ENSG00000228176	lncRNA
ENSG00000228181	chr10	ENSG00000228181	processed_pseudogene
MTND2P25	chrX	ENSG00000228182	processed_pseudogene
SNX19P1	chr21	ENSG00000228184	processed_pseudogene
ENSG00000228187	chr1	ENSG00000228187	processed_pseudogene
LINC02843	chr9	ENSG00000228189	lncRNA
RPL23AP16	chr1	ENSG00000228190	processed_pseudogene
ENSG00000228191	chr1	ENSG00000228191	processed_pseudogene
ZNF691-DT	chr1	ENSG00000228192	lncRNA
ELOCP14	chrY	ENSG00000228193	processed_pseudogene
ENSG00000228194	chr22	ENSG00000228194	processed_pseudogene
RPL5P27	chr10	ENSG00000228195	processed_pseudogene
PTPN2P1	chr1	ENSG00000228196	processed_pseudogene
OR2M3	chr1	ENSG00000228198	protein_coding
ENSG00000228201	chr16	ENSG00000228201	lncRNA
GRASLND	chr2	ENSG00000228203	lncRNA
ENSG00000228204	chr7	ENSG00000228204	lncRNA
RPS3P3	chr3	ENSG00000228205	processed_pseudogene
ENSG00000228207	chrY	ENSG00000228207	unprocessed_pseudogene
LINC02869	chr1	ENSG00000228208	lncRNA
PNPP1	chr2	ENSG00000228209	processed_pseudogene
RPL7AP12	chr20	ENSG00000228210	processed_pseudogene
HYAL6P	chr7	ENSG00000228211	unitary_pseudogene
OFD1P17	chr5	ENSG00000228212	processed_pseudogene
NLGN1-AS1	chr3	ENSG00000228213	lncRNA
LINC02770	chr1	ENSG00000228215	lncRNA
ENSG00000228216	chr9	ENSG00000228216	lncRNA
PNRC2P1	chr1	ENSG00000228217	processed_pseudogene
ATF4P3	chr17	ENSG00000228218	processed_pseudogene
NPM1P30	chr10	ENSG00000228219	processed_pseudogene
LINC00578	chr3	ENSG00000228221	lncRNA
ENSG00000228222	chr2	ENSG00000228222	lncRNA
HCG11	chr6	ENSG00000228223	lncRNA
NACA4P	chr8	ENSG00000228224	transcribed_processed_pseudogene
CRLF3P3	chr2	ENSG00000228225	processed_pseudogene
ENSG00000228226	chr2	ENSG00000228226	lncRNA
ENSG00000228229	chr1	ENSG00000228229	lncRNA
TINAG-AS1	chr6	ENSG00000228231	lncRNA
GAPDHP1	chrX	ENSG00000228232	processed_pseudogene
GLRXP1	chr20	ENSG00000228234	processed_pseudogene
ENSG00000228235	chr21	ENSG00000228235	lncRNA
TXNP5	chr2	ENSG00000228236	processed_pseudogene
EFCAB14-AS1	chr1	ENSG00000228237	lncRNA
ENSG00000228238	chr1	ENSG00000228238	processed_pseudogene
ENSG00000228239	chr1	ENSG00000228239	lncRNA
TTTY17A	chrY	ENSG00000228240	lncRNA
MOB1AP1	chr13	ENSG00000228241	processed_pseudogene
XPC-AS1	chr3	ENSG00000228242	lncRNA
UBBP2	chr1	ENSG00000228247	processed_pseudogene
NUTF2P3	chr9	ENSG00000228248	processed_pseudogene
ENSG00000228251	chr2	ENSG00000228251	lncRNA
COL6A4P2	chr3	ENSG00000228252	transcribed_unitary_pseudogene
MT-ATP8	chrM	ENSG00000228253	protein_coding
ENSG00000228255	chr1	ENSG00000228255	lncRNA
ENSG00000228257	chrY	ENSG00000228257	unprocessed_pseudogene
ENSG00000228259	chr5	ENSG00000228259	unprocessed_pseudogene
ITPRIP-AS1	chr10	ENSG00000228261	lncRNA
LINC01320	chr2	ENSG00000228262	lncRNA
PSMD8P1	chr1	ENSG00000228264	processed_pseudogene
LINC02048	chr3	ENSG00000228271	lncRNA
ENSG00000228272	chr2	ENSG00000228272	lncRNA
TOMM22-DT	chr22	ENSG00000228274	lncRNA
ARMCX3-AS1	chrX	ENSG00000228275	lncRNA
UMLILO	chr4	ENSG00000228277	lncRNA
ORM2	chr9	ENSG00000228278	protein_coding
ENSG00000228280	chr10	ENSG00000228280	lncRNA
KATNBL1P6	chr6	ENSG00000228283	transcribed_processed_pseudogene
LYPLA2P1	chr6	ENSG00000228285	processed_pseudogene
ENSG00000228286	chr11	ENSG00000228286	processed_pseudogene
PCAT6	chr1	ENSG00000228288	lncRNA
ENSG00000228289	chr1	ENSG00000228289	processed_pseudogene
TBX18-AS1	chr6	ENSG00000228290	lncRNA
ARL4AP3	chr10	ENSG00000228291	processed_pseudogene
ENSG00000228292	chr9	ENSG00000228292	processed_pseudogene
IDH3B-DT	chr20	ENSG00000228293	lncRNA
BMS1P17	chr14	ENSG00000228294	transcribed_unprocessed_pseudogene
LINC00392	chr13	ENSG00000228295	lncRNA
TTTY4C	chrY	ENSG00000228296	lncRNA
FAM174C	chr19	ENSG00000228300	protein_coding
RPL7P55	chrX	ENSG00000228301	processed_pseudogene
ENSG00000228302	chr10	ENSG00000228302	lncRNA
ENSG00000228303	chr7	ENSG00000228303	unprocessed_pseudogene
OR4K6P	chr14	ENSG00000228304	unprocessed_pseudogene
PRELID1P6	chr2	ENSG00000228305	processed_pseudogene
OR2S1P	chr9	ENSG00000228307	transcribed_unprocessed_pseudogene
LINC01209	chr3	ENSG00000228308	lncRNA
LINC01350	chr1	ENSG00000228309	lncRNA
GAPDHP45	chr10	ENSG00000228312	processed_pseudogene
CYP4F29P	chr21	ENSG00000228314	transcribed_unprocessed_pseudogene
GUSBP11	chr22	ENSG00000228315	lncRNA
MTATP6P19	chrX	ENSG00000228316	processed_pseudogene
FKTN-AS1	chr9	ENSG00000228317	lncRNA
MX1-AS1	chr21	ENSG00000228318	lncRNA
SPATA2P1	chr13	ENSG00000228319	processed_pseudogene
GLIS3-AS2	chr9	ENSG00000228322	lncRNA
MYADM-AS1	chr19	ENSG00000228323	lncRNA
IGKV3D-7	chr2	ENSG00000228325	IG_V_gene
ENSG00000228327	chr1	ENSG00000228327	transcribed_unprocessed_pseudogene
PGK1P1	chrX	ENSG00000228328	processed_pseudogene
LINC01890	chr2	ENSG00000228329	lncRNA
ENSG00000228330	chr10	ENSG00000228330	processed_pseudogene
RPL17P43	chr17	ENSG00000228331	processed_pseudogene
ENSG00000228334	chr7	ENSG00000228334	lncRNA
ENSG00000228335	chr7	ENSG00000228335	processed_pseudogene
OR9H1P	chr1	ENSG00000228336	protein_coding
PPIAP69	chr3	ENSG00000228337	processed_pseudogene
LINC01784	chr1	ENSG00000228338	lncRNA
AMD1P1	chr10	ENSG00000228339	processed_pseudogene
MIR646HG	chr20	ENSG00000228340	lncRNA
ENSG00000228341	chr7	ENSG00000228341	processed_pseudogene
ENSG00000228343	chrX	ENSG00000228343	lncRNA
ENSG00000228345	chrX	ENSG00000228345	processed_pseudogene
FTLP17	chr1	ENSG00000228347	processed_pseudogene
EFCAB14P1	chr1	ENSG00000228348	processed_pseudogene
RPS26P4	chr21	ENSG00000228349	processed_pseudogene
LINC02585	chr3	ENSG00000228350	lncRNA
ENSG00000228351	chr3	ENSG00000228351	lncRNA
ENSG00000228352	chr9	ENSG00000228352	lncRNA
ENSG00000228353	chr10	ENSG00000228353	lncRNA
ENSG00000228354	chrX	ENSG00000228354	processed_pseudogene
ENSG00000228355	chr21	ENSG00000228355	lncRNA
LINC02263	chr4	ENSG00000228358	lncRNA
ENSG00000228360	chr7	ENSG00000228360	processed_pseudogene
ENSG00000228361	chr6	ENSG00000228361	lncRNA
CHMP3-AS1	chr2	ENSG00000228363	lncRNA
SAR1AP1	chr6	ENSG00000228364	processed_pseudogene
